Roaster Name,Location,Equipment / Notes,Shop URL
Code194,London,—,code194.com
Coffee Compass,Littlehampton,—,coffeecompass.co.uk
Coffee Gems,Chippenham,—,coffeegems.co.uk
Coffee World,Cambridge,—,coffeeworld.co.uk
Coffever,Bath,—,coffever.co.uk
Coffilab,Cardiff,—,coffilab.co.uk
Colonna,Bath,—,colonnacoffee.com
Colours Coffee,Wiltshire,—,colourscoffee.co.uk
Common,Pathhead,—,commoncoffee.co.uk
Conscious,Welwyn Garden City,—,consciouscoffee.co.uk
Coopers,Marlow,—,cooperscoffee.co.uk
Cortina,Edinburgh,Whisky barrel-aged specialists,cortinacoffee.co.uk
Cracked Coffee,Mold,—,crackedcoffee.co.uk
Crankhouse,Exeter,Loring S15 / Funky offerings,crankhousecoffee.co.uk
Crosby,Liverpool,—,crosbycoffee.co.uk
Cult,Edinburgh,—,cultcoffee.co.uk
Cuppers Choice,Sheffield,—,cupperschoice.co.uk
Curve,Margate,—,curveroasters.co.uk
Cworks,Bristol,—,cworkscoffee.co.uk
Danelaw,Holmfirth,Giesen W6E / Medium-dark roast,danelaw.coffee
Dark Arts,London,—,darkartscoffee.co.uk
Dark Horse,Wallingford,—,darkhorsecoffee.co.uk
Dark Matter,London,Modern advanced processes,darkmattercoffee.co.uk
Darkwoods,Huddersfield,Probat,darkwoodscoffee.co.uk
Dear Green,Glasgow,Probat / House blends,deargreencoffee.com
Death Before Decaf,—,High-grade decaf & low-caf,deathbeforedecaf.co.uk
Django,Manchester,—,djangocoffeeco.com
Dosed,Swindon,—,dosedcoffee.co.uk
Droitwich Coffee Culture,Droitwich,Sicilian blend,droitwichcoffeeculture.co.uk
Duffins,"Staveley, Cumbria",—,duffinscoffee.co.uk
Dusty Ape,Hilperton,—,dustyape.co.uk
Echelon,Leeds,—,echeloncoffee.co.uk
Elsewhere,Deptford,—,elsewherecoffee.com
Established,Belfast,—,established.coffee
Etude,Bungay,—,etudecoffee.co.uk
Exemplar,—,Quarterly roasting project,exemplarcoffee.co.uk
Feri,—,—,fericoffee.com
Fidela,Coleraine,—,fidelacoffee.com
Fika,Durham,—,fikacoffee.co.uk
Fire and Flow,Cirencester,—,fireandflow.co.uk
Fireheart,London,—,fireheartcoffee.com
Flying Horse,London,—,flyinghorsecoffee.com
Forge,Sheffield,—,forgecoffeeroasters.com
Formative,London,—,formative.coffee
Fortitude,Edinburgh,—,fortitudecoffee.com
Foundry,Sheffield,—,foundrycoffeeroasters.com
Frazers,Sheffield,—,frazerscoffeeroasters.co.uk
Freda,Brighton,—,fredacoffee.com
Full Court Press,Bristol,Stronghold S8X & S7 Pro,fcp.coffee
Girls Who Grind,—,Only female-grown coffee,girlswhogrindcoffee.com
Glass Coffee Co,Camden,Stronghold S7X,glasscoffeeco.com
Glen Lyon,Aberfeldy,—,glenlyoncoffee.co.uk
Goldbox,Blaydon-on-Tyne,—,goldboxroastery.com
Grain and Grind,Inverness,Pacrone,grainandgrind.co.uk
Groupwork,"Castlewellan, NI",—,groupworkcoffee.com
Haar,Aberdeen,—,haarcoffee.co.uk
Happy Barista,County Durham,—,happybarista.co.uk
Hardlines,Cardiff,—,hardlinescoffee.co.uk
Harmony,York,—,harmonycoffee.co.uk
Heart and Graft,Manchester,Giesen W15a & W30,heartandgraft.co.uk
Heartland,Llandudno,—,heartlandcoffee.co.uk
Hermanos,Stratford,Colombian light roast specialists,hermanoscoffeeroasters.com
Horsham,Burgess Hill,Loring S35,horshamcoffeeroaster.co.uk
Hundred House,Ludlow,Freak & Unique series,hundredhousecoffee.com
Inverness Coffee Roasting,Inverness,—,invernesscoffeeroasting.co.uk
Iron and Fire,Ironbridge,—,ironandfire.co.uk
Ithaka,Birmingham,—,ithakacoffee.co.uk
Jae's Roaster,West Yorkshire,—,jaesroaster.co.uk
James Gourmet,Ross-on-Wye,—,jamesgourmetcoffee.com
Jet Bean,London,Espresso,jetbeancoffee.co.uk
Jolly Bean,Sowerby Bridge,Besca 10kg / Juicy medium roast,jollybeancoffee.co.uk
Kaffelah,Birmingham,Nucleus Link,kaffelah.co.uk
Kaffirost,Oxford,—,kaffirost.co.uk
Kapow,Leeds,Medium roast,kapowcoffee.co.uk
Killbean,London,Santoker R3 Master,killbean.co.uk
Kobean,Stockport,—,kobean.co.uk
Kofra,Norwich,—,kofra.co.uk
Kota,Farnham,—,kotacoffee.co.uk
La Pêche,North Yorkshire,—,lapechecoffee.co.uk
La Tostadora,London,—,latostadora.co.uk
Leicester Coffee House,Leicester,—,leicestercoffeehouse.co.uk
Little Fin,Southend-on-Sea,—,littlefin.co.uk
Lucid,Belfast,—,lucidcoffee.co.uk
Machina,Edinburgh,—,machina-coffee.co.uk
Method,Worcester,—,methodroastery.co.uk
Missing Bean,Oxford,—,missingbean.co.uk
Mission,London,—,missioncoffeeworks.com
Module,Edinburgh,Loring / High-grade processes,modulecoffee.com
Monsoon Estates,Warwick,—,monsoonestates.co.uk
Mr Eion,Edinburgh,—,mreion.com
Mutual,Edinburgh,—,mutualcoffee.co.uk
Neighbourhood,Liverpool,—,neighbourhoodcoffee.co.uk
New Breed,London,Vietnamese Robusta,newbreedcoffee.co.uk
New Ground,Oxford,Social enterprise / Ex-offenders training,newgroundcoffee.com
Ngopi,Birmingham,Sumatran specialists,ngopi.co.uk
Nikkei,Peckham,—,nikkeicoffee.co.uk
Northside,Morpeth,—,northsidecoffee.co.uk
North Star,Leeds,—,northstarroast.com
Nostos,London,—,nostoscoffee.co.uk
Obadiah,Edinburgh,—,obadiahcoffee.com
Oddy Knocky,Bolton,—,oddyknocky.co.uk
Old Spike,Peckham,—,oldspikeroastery.com
Origin,London,—,origincoffee.co.uk
Outpost,Nottingham,—,outpostcoffee.co.uk
Ovenbird,Glasgow,—,ovenbird.co.uk
Ozone,Shoreditch,—,ozonecoffee.co.uk
Pact,London,—,pactcoffee.com
Papercup,Glasgow,—,papercupcoffee.co.uk
Parallel,Glasgow,—,parallelcoffee.co.uk
Peaberry,Andover,—,peaberrycoffee.co.uk
Perception,London,—,perceptioncoffee.co.uk
Perky Blenders,London,—,perkyblenders.com
Plot,London,—,plotroasting.co.uk
Poblado,Snowdonia,—,pobladocoffee.co.uk
Pollards,Sheffield,—,pollards.com
Potterbeans,Truro,Wood-fired roaster,potterbeans.co.uk
Process,Belfast,—,process.coffee
Quarter Horse,Birmingham,—,quarterhorsecoffee.com
Radical Roasters,Bristol,—,radicalroasters.co.uk
Ratdog,Sheffield,Aillio Bullet R2 Pro / Dr. Shufan Yang,ratdogcoffee.co.uk
Rave,Cirencester,—,ravecoffee.co.uk
RAW,Leeds,—,rawcoffeeroasters.co.uk
Recent,Wakefield,—,recentcoffee.co.uk
Red Bank,Lake District,Loring S35,redbankcoffee.com
Redemption,London,—,redemptionroasters.com
Resinn,Sunderland,—,resinn.co.uk
Ride and Grind,Wallyford,—,rideandgrind.co.uk
Rise & Grind,Paisley,—,riseandgrind.co.uk
Rish Coffee,West London,—,rishcoffee.co.uk
Ritual,Cheltenham,Espresso,ritualcoffeehouse.co.uk
River City Coffee,Hull,—,rivercitycoffee.co.uk
Roastersaurus,London,Diana Johnston (UK Roasting Champ),roastersaurus.co.uk
Rosslyn,London,—,rosslyncoffee.com
Roundhill,Radstock,—,roundhillroastery.com
Rounton,Northallerton,—,rountoncoffee.co.uk
Routes,Oxford,—,routescoffee.co.uk
Sacred Grounds,Arbroath,—,sacredgroundscoffee.co.uk
Saint Espresso,Hackney Wick,—,saintespresso.com
Saints of Mokha,Leicester,Loring S15 / QIMA Best of Yemen,saintsofmokha.com
Salford Roasters,Manchester,—,salfordroasters.co.uk
Sanctuary,Torquay,—,sanctuarycoffee.co.uk
Santu,Edinburgh,—,santucoffee.com
Scenery,London,Loring S35,scenerycoffee.com
Simba Bru,Watford,—,simbabru.co.uk
Sioptec,Manchester,—,sioptec.co.uk
SIP Collective,—,Stronghold / Alexandru Marin,sipcollective.co.uk
Skinny Dip,Margate,—,skinnydipcoffee.co.uk
Skylark,Brighton,—,skylark.coffee
Small Batch,Brighton,—,smallbatchcoffee.co.uk
Smith Street,Sheffield,—,smithstreetcoffeeroasters.co.uk
Smugglers Drop,Hastings,—,smugglersdrop.co.uk
Snakebite,Beverley,—,snakebitecoffee.co.uk
Space Boy,Edinburgh,Custom-built roaster,spaceboycoffee.co.uk
Special Guests,London,High grade,specialguests.coffee
Square Bean,Pershore,—,squarebeancoffee.co.uk
Square Mile,London,Stock Third Wave Water,squaremilecoffee.com
Stables,Abingdon,—,stablescoffee.co.uk
Steampunk,North Berwick,—,steampunkcoffee.co.uk
Still,Beverley,—,stillcoffee.co.uk
Sunday Coffee,Southbourne,Light / Medium roast,sundaycoffee.co.uk
Swansong,Manchester,Medium roast,swansongcoffee.co.uk
Sweven,Bristol,Light roast,swevencoffee.co.uk
Taith,Lewes,125g boxes,taithcoffee.co.uk
Tanifiki,Edinburgh,—,tanifiki.co.uk
The Bean Shop,Perth,—,thebeanshop.co.uk
The Blending Room,Hull,Loring roaster,theblendingroom.co.uk
The Brew Project,Witchford,—,thebrewproject.co.uk
The Coffee Apothecary,Aberdeen,—,thecoffeeapothecary.co.uk
The Lost Barn,Tilston,—,lostbarncoffee.co.uk
The One With The Pigeon,Sheffield,Modern approach,theonewiththepigeon.co.uk
The Roasting Project,Kirkcaldy,—,theroastingproject.co.uk
The Source,Edinburgh,Modern advanced processes,thesourcecoffee.co.uk
Thomsons,Glasgow,—,thomsonscoffee.com
Tilted,Nantwich,—,tiltedcoffee.co.uk
Triple Co,Bristol,—,triplecocoffee.co.uk
Two Chimps,Oakham,—,twochimpscoffee.co.uk
Twoday,Bristol,Medium / dark roast,twodaycoffee.co.uk
UE,Witney,—,uecoffeeroasters.com
UKE Coffee,South London,—,ukecoffee.co.uk
Ukkei,London,—,ukkei.co.uk
Under Pressure,Sutton Coldfield,—,underpressurecoffee.co.uk
Urban Baristas,London,—,urbanbaristas.com
Volcano,London,—,volcanocoffeeworks.com
Voyager,Dartmoor,—,voyagercoffee.co.uk
WatchHouse,London,—,watchhouse.com
West Berkshire,Thatcham,—,westberkshireroastery.co.uk
White Star,Belfast,—,whitestarcoffee.co.uk
Winchester,Winchester,—,winchestercoffeeroasters.co.uk
Wogan,Bristol,Fairtrade & direct trade,wogancoffee.com
Yallah,St Ives,—,yallahcoffee.co.uk
Yellow Bourbon,Northampton,—,yellowbourbon.co.uk
Zennor,Glasgow,—,zennorcoffee.co.uk
Zero to One,London,Vietnamese specialists,zerotoonecoffee.co.uk
